date,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ
2023-05-05,37.1700,37.4600,35.6600,36.0600,37.2000,60551317,2195611957.8900,0.664800,-3.064500,27.308348,4.795131
2023-05-08,36.1900,37.1600,35.6600,35.9200,36.0600,51445101,1862099583.1600,0.564800,-0.388200,27.202326,4.776514
2023-05-09,35.9500,36.4000,35.2200,35.9500,35.9200,39760400,1431613007.1700,0.436500,0.083500,27.225045,4.780503
2023-05-10,35.9000,36.6000,35.7100,36.4000,35.9500,33392604,1208723852.4200,0.366600,1.251700,27.565831,4.840343
2023-05-11,36.4200,36.6800,36.0100,36.2700,36.4000,23882754,869517332.4000,0.262200,-0.357100,27.467382,4.823056
2023-05-12,36.3100,36.5500,35.2500,35.4500,36.2700,33106160,1179969016.9300,0.363500,-2.260800,26.846394,4.714015
2023-05-15,35.4800,35.6000,34.6000,35.3600,35.4500,41427888,1448630038.0600,0.454800,-0.253900,26.778236,4.702047
2023-05-16,35.5100,35.6900,34.8500,35.4500,35.3600,31399602,1107451676.9700,0.344700,0.254500,26.846394,4.714015
2023-05-17,35.2500,35.2900,34.7700,35.0000,35.4500,26589880,929146201.6600,0.291900,-1.269400,26.505607,4.654176
2023-05-18,35.0100,35.6700,34.5000,35.5300,35.0000,39314758,1381185530.3600,0.431600,1.514300,26.906978,4.724653
2023-05-19,35.0000,35.8700,34.3500,35.6200,34.8300,48307970,1698930155.3600,0.530300,2.268200,26.975135,4.736621
2023-05-22,35.7000,36.3900,35.3500,35.8800,35.6200,31408371,1127705594.5900,0.344800,0.729900,27.172034,4.771195
2023-05-23,35.8800,37.0000,35.8300,36.6800,35.8800,45015352,1646861935.0100,0.494200,2.229700,27.777876,4.877576
2023-05-24,36.4000,36.4600,35.8000,36.0000,36.6800,25537792,920795502.7300,0.280400,-1.853900,27.262910,4.787152
2023-05-25,35.9500,36.3500,34.5900,34.9500,36.0000,44221406,1557377120.4200,0.485500,-2.916700,26.467742,4.647527
2023-05-26,35.2000,35.6100,34.4600,35.4400,34.9500,34841440,1219071413.8100,0.382500,1.402000,26.838821,4.712685
2023-05-29,35.4400,35.6700,33.7000,34.0000,35.4400,57736600,1980768901.1300,0.633900,-4.063200,25.748304,4.521199
2023-05-30,34.0000,35.1900,33.8000,35.1600,34.0000,37637369,1297536753.2400,0.413200,3.411800,26.626776,4.675452
2023-05-31,35.1700,35.4800,34.6000,34.8600,35.1600,25712000,898775678.7100,0.282300,-0.853200,26.399585,4.635559
2023-06-01,34.8900,36.4000,34.4400,35.9000,34.8600,50762206,1811833583.4500,0.557300,2.983400,27.187180,4.773855
2023-06-02,35.9000,36.0800,35.4800,35.9100,35.9000,29601261,1059791897.4600,0.325000,0.027900,27.194753,4.775184
2023-06-05,35.9200,36.5800,35.6100,36.0000,35.9100,34177961,1232902733.1900,0.375200,0.250600,27.262910,4.787152
2023-06-06,36.0000,36.1800,34.8900,34.9000,36.0000,31111660,1103335255.3200,0.341600,-3.055600,26.429877,4.640878
2023-06-07,34.8600,35.2000,34.5000,34.7200,34.9000,24492193,851616755.3100,0.268900,-0.515800,26.293562,4.616942
2023-06-08,34.6500,35.0000,34.3100,34.5500,34.7200,18568426,641478094.9600,0.203900,-0.489600,26.164821,4.594336
2023-06-09,34.6000,34.6400,31.3900,32.3600,34.5500,118653460,3851762503.3400,1.302600,-6.338600,24.506327,4.303118
2023-06-12,32.1600,32.5600,31.2100,31.7500,32.3600,81385784,2588196300.6300,0.893500,-1.885000,24.044372,4.222002
2023-06-13,31.8500,33.7600,31.6700,33.5800,31.7500,78126912,2577306356.1100,0.857700,5.763800,25.430237,4.465349
2023-06-14,33.5000,34.0300,33.1800,33.3700,33.5800,46229683,1550844813.8000,0.507500,-0.625400,25.271203,4.437424
2023-06-15,33.3800,33.8700,32.9000,33.4400,33.3700,36967962,1235224261.9200,0.405900,0.209800,25.324214,4.446733
2023-06-16,33.7600,35.4600,33.2100,35.1400,33.4400,62582202,2161041165.3400,0.687100,5.083700,26.611630,4.672792
2023-06-19,35.1400,36.5800,34.7600,36.1500,35.1400,70493707,2535874656.9900,0.773900,2.874200,27.376506,4.807099
2023-06-20,36.0700,36.6500,35.6100,36.3400,36.1500,50590314,1833538496.9400,0.555400,0.525600,27.520393,4.832364
2023-06-21,36.1700,36.1700,35.1600,35.1600,36.3400,39545458,1409074096.6700,0.434100,-3.247100,26.626776,4.675452
2023-06-26,34.6700,35.1000,33.8000,33.8400,35.1600,42355354,1451251722.7700,0.465000,-3.754300,25.627136,4.499923
2023-06-27,34.0200,34.5000,33.8100,34.1000,33.8400,34778061,1187684146.6100,0.381800,0.768300,25.824034,4.534497
2023-06-28,34.1500,34.2200,32.8500,33.7400,34.1000,36991926,1238253502.1700,0.406100,-1.055700,25.551405,4.486625
2023-06-29,33.7300,34.0400,33.1900,33.3700,33.7400,25911519,869085694.4200,0.284500,-1.096600,25.271203,4.437424
2023-06-30,33.3800,33.6200,32.9400,33.1100,33.3700,34220396,1135996348.3900,0.375700,-0.779100,25.074304,4.402850
2023-07-03,33.1200,33.6700,33.0800,33.4000,33.1100,34635357,1155896420.0000,0.380200,0.875900,25.293922,4.441413
2023-07-04,33.3400,35.1100,33.1500,34.5900,33.4000,58292229,2005900061.3400,0.640000,3.562900,26.195113,4.599655
2023-07-05,34.5100,34.5500,33.9000,34.2700,34.5900,29364770,1006405856.0900,0.322400,-0.925100,25.952776,4.557103
2023-07-06,34.0800,34.5100,33.6800,33.8800,34.2700,27812769,945843925.4700,0.305300,-1.138000,25.657428,4.505242
2023-07-07,33.5500,33.5900,32.8600,33.3000,33.8800,23179009,769467123.8600,0.254500,-1.711900,25.128425,4.412353
2023-07-10,33.5100,34.0700,33.1500,34.0500,33.3000,26389153,890734459.8000,0.289700,2.252300,25.694381,4.511731
2023-07-11,34.0000,34.3700,33.8800,34.2000,34.0500,20807569,711369264.0400,0.228400,0.440500,25.807572,4.531606
2023-07-12,34.2100,34.6800,33.7500,34.2900,34.2000,29986063,1026805635.8000,0.329200,0.263200,25.875487,4.543532
2023-07-13,34.2900,34.9500,34.2900,34.8800,34.2900,25681906,890722422.1900,0.282000,1.720600,26.320705,4.621708
2023-07-14,34.8200,35.2500,34.5500,34.6500,34.8800,22481094,784083373.5100,0.246800,-0.659400,26.147145,4.591233
2023-07-17,34.6000,34.6500,33.9900,34.2100,34.6500,16935249,579343571.9200,0.185900,-1.269800,25.815118,4.532931
2023-07-18,34.1700,34.4400,34.0000,34.0700,34.2100,17071654,583030477.2000,0.187400,-0.409200,25.709473,4.514381
2023-07-19,34.0200,34.3000,33.9100,34.2900,34.0700,13527612,461623538.9600,0.148500,0.645700,25.875487,4.543532
2023-07-20,34.6200,34.7600,33.8000,33.8200,34.2900,18509939,630801660.9500,0.203200,-1.370700,25.520821,4.481255
2023-07-21,33.7000,33.9500,33.3100,33.4200,33.8200,14668262,492462326.0300,0.161000,-1.182700,25.218978,4.428254
2023-07-24,33.3400,33.4700,32.7000,32.9500,33.4200,19482638,643044269.8200,0.213900,-1.406300,24.864313,4.365977
2023-07-25,33.4000,34.8000,33.3600,34.4900,32.9500,36599152,1251282746.6400,0.401800,4.673700,26.026408,4.570032
2023-07-26,34.4000,34.5900,33.9600,34.1100,34.4900,17476727,596645958.3500,0.191900,-1.101800,25.739657,4.519681
2023-07-27,34.1100,35.2600,34.1000,34.6900,34.1100,30169385,1050305826.2000,0.331200,1.700400,26.177329,4.596533
2023-07-28,34.5000,35.7900,34.4500,35.5200,34.6900,37494436,1324971943.8300,0.411600,2.392600,26.803654,4.706510
2023-07-31,35.7600,37.0000,35.7600,36.3200,35.5200,45236111,1651852696.9500,0.496600,2.252300,27.407339,4.812513
2023-08-01,36.3200,36.6600,35.6300,36.0000,36.3200,26439577,953915180.5200,0.290300,-0.881100,27.165865,4.770112
2023-08-02,36.0000,36.2100,35.5300,35.6600,36.0000,16086155,575859418.0200,0.176600,-0.944400,26.909299,4.725061
2023-08-03,35.5300,35.9900,35.2700,35.5300,35.6600,19394418,689634680.3000,0.212900,-0.364600,26.811200,4.707835
2023-08-04,35.8100,36.8300,35.8100,36.5500,35.5300,34802435,1272450076.1400,0.382100,2.870800,27.580899,4.842989
2023-08-07,36.5400,37.6500,36.2500,36.5800,36.5500,38430435,1419429977.9700,0.421900,0.082100,27.603537,4.846964
2023-08-08,36.6800,36.8500,36.1000,36.3300,36.5800,17304506,629476261.1400,0.190000,-0.683400,27.414886,4.813838
2023-08-09,36.1200,36.5500,35.9500,35.9800,36.3300,13369201,484082429.9900,0.146800,-0.963400,27.150773,4.767462
2023-08-10,35.9000,36.5500,35.9000,36.2000,35.9800,14106791,510692317.1200,0.154900,0.611500,27.316787,4.796613
2023-08-11,36.1800,36.3800,35.1100,35.2600,36.2000,28813831,1025916594.4300,0.316300,-2.596700,26.607456,4.672060
2023-08-14,35.0000,35.0100,34.4600,34.9600,35.2600,18746681,651486655.7000,0.205800,-0.850800,26.381073,4.632309
2023-08-15,34.9600,35.3000,34.4200,34.8200,34.9600,20448149,711752773.5900,0.224500,-0.400500,26.275428,4.613758
2023-08-16,34.8100,34.8100,33.7200,33.7400,34.8200,22899949,781453409.0000,0.251400,-3.101700,25.460452,4.470655
2023-08-17,33.7100,34.6800,33.5000,34.4000,33.7400,18199849,623515224.7600,0.199800,1.956100,25.958493,4.558107
2023-08-18,34.4300,34.9000,33.8500,33.9000,34.4000,16890446,580431978.3200,0.185400,-1.453500,25.581190,4.491855
2023-08-21,34.0200,35.4500,34.0000,34.3700,33.9000,31668000,1101333590.7500,0.347700,1.386400,25.827864,4.734707
2023-08-22,34.7000,35.3400,34.2600,35.1900,34.3700,26226897,913261254.8200,0.287900,2.385800,26.444065,4.847668
2023-08-23,35.1000,35.5000,34.1700,34.1800,35.1900,27095614,942754950.9200,0.297500,-2.870100,25.685085,4.708533
2023-08-24,34.3500,34.6800,33.8000,34.1900,34.1800,18275546,626529474.7600,0.200600,0.029300,25.692600,4.709911
2023-08-25,33.8900,33.9700,33.0500,33.2800,34.1900,25466252,851393166.2000,0.279600,-2.661600,25.008766,4.584552
2023-08-28,35.0300,35.2600,33.8000,34.0400,33.2800,37313131,1281621747.6900,0.409700,2.283700,25.579880,4.689247
2023-08-29,33.9500,35.4800,33.7400,35.3600,34.0400,29423393,1026723440.2500,0.323000,3.877800,26.571814,4.871086
2023-08-30,35.3600,35.7000,34.9200,35.4500,35.3600,23954106,845887614.2400,0.263000,0.254500,26.639446,4.883485
2023-08-31,35.3700,35.6400,35.0400,35.2800,35.4500,13778385,487171250.7200,0.151300,-0.479500,26.511697,4.860066
2023-09-01,35.2700,35.8000,35.0000,35.5500,35.2800,18271825,647925391.6500,0.200600,0.765300,26.714593,4.897260
2023-09-04,35.7000,36.2000,35.6600,35.8100,35.5500,27655091,994070620.9400,0.303600,0.731400,26.909974,4.933077
2023-09-05,35.6800,36.1100,35.4400,35.5300,35.8100,23958401,855824916.0500,0.263000,-0.781900,26.699563,4.894505
2023-09-06,35.4100,35.7000,34.7000,35.1700,35.5300,24338851,857981421.2700,0.267200,-1.013200,26.429036,4.844913
2023-09-07,35.1700,35.1700,34.2000,34.3000,35.1700,22724852,786389006.4400,0.249500,-2.473700,25.775261,4.725064
2023-09-08,34.3100,34.4400,33.9200,33.9800,34.3000,16279507,554665271.6000,0.178700,-0.932900,25.534792,4.680982
2023-09-11,34.0000,34.5000,33.8000,34.0000,33.9800,26922289,918532534.2200,0.295600,0.058900,25.549821,4.683737
2023-09-12,34.0200,34.1900,33.6200,33.7700,34.0000,21037831,710866019.2700,0.231000,-0.676500,25.376984,4.652053
2023-09-13,33.7800,33.8000,33.0000,33.2300,33.7700,31607899,1052486578.6100,0.347000,-1.599100,24.971193,4.577664
2023-09-14,33.2200,33.4300,33.0400,33.2400,33.2300,19111841,635655115.1800,0.209800,0.030100,24.978708,4.579042
2023-09-15,33.4000,33.4500,32.2000,32.5500,33.2400,33584539,1098109404.1300,0.368700,-2.075800,24.460197,4.483989
2023-09-18,32.4000,33.0100,32.1900,32.4900,32.5500,20090852,654819999.6900,0.220600,-0.184300,24.415109,4.475724
2023-09-19,32.5100,32.5300,31.7200,31.8500,32.4900,35742404,1139201403.9500,0.392400,-1.969800,23.934171,4.387559
2023-09-20,31.8500,32.0500,31.6600,32.0100,31.8500,16877036,538803192.7400,0.185300,0.502400,24.054405,4.409601
2023-09-21,32.0800,32.2300,31.7500,31.9200,32.0100,13538055,433460907.4700,0.148600,-0.281200,23.986774,4.397202
2023-09-22,31.9100,33.2900,31.8400,33.2000,31.9200,30287965,992854049.7600,0.332500,4.010000,24.948649,4.573531
2023-09-25,33.2000,33.3400,32.9000,33.0500,33.2000,17838095,590719541.4200,0.195800,-0.451800,24.835929,4.552868
2023-09-26,33.1000,34.0900,33.0700,33.4900,33.0500,34107483,1148435320.2500,0.374500,1.331300,25.166574,4.613481
2023-09-27,33.2900,33.5100,33.0200,33.4500,33.4900,14817427,494387038.3500,0.162700,-0.119400,25.136515,4.607971
2023-09-28,33.4500,33.8700,33.3800,33.8000,33.4500,19451418,655828498.0600,0.213600,1.046300,25.399528,4.656186
2023-10-09,33.7900,34.1500,33.1800,34.0100,33.8000,21852743,738476479.1700,0.239900,0.621300,25.557336,4.685114
2023-10-10,34.2200,34.2700,33.6700,33.8100,34.0100,16409724,557254078.9700,0.180200,-0.588100,25.407043,4.657563
2023-10-11,33.8100,34.3500,33.8100,34.1800,33.8100,18079069,618047197.1800,0.198500,1.094400,25.685085,4.708533
2023-10-12,34.3500,34.7000,34.0800,34.6000,34.1800,21084344,727319830.1100,0.231500,1.228800,26.000701,4.766391
2023-10-13,34.4400,34.7000,34.1000,34.4100,34.6000,16249208,559055880.3000,0.178400,-0.549100,25.857922,4.740217
2023-10-16,34.3600,34.3600,33.6600,33.7700,34.4100,14858072,502713702.8000,0.163100,-1.859900,25.376984,4.652053
2023-10-17,33.9500,34.3700,33.7300,33.9400,33.7700,14575533,496243214.2900,0.160000,0.503400,25.504734,4.675471
2023-10-18,33.9300,34.0400,33.6000,33.6900,33.9400,12551499,423439088.3500,0.137800,-0.736600,25.316867,4.641032
2023-10-19,33.5900,33.7800,33.2100,33.2400,33.6900,13276004,444941714.4000,0.145800,-1.335700,24.978708,4.579042
2023-10-20,33.1600,33.3000,32.5800,32.6900,33.2400,14711471,482503594.9100,0.161500,-1.654600,24.565402,4.503275
2023-10-23,33.6000,34.2100,33.1000,33.8000,32.6900,38214351,1286515998.1600,0.419500,3.395500,24.546750,4.410045
2023-10-24,33.7200,34.0000,33.0200,33.8700,33.8000,28529724,958465642.6800,0.313200,0.207100,24.597587,4.419178
2023-10-25,34.8000,35.6900,34.7200,35.2700,33.8700,44779425,1580201713.1100,0.491600,4.133500,25.614316,4.601842
2023-10-26,35.0000,35.4000,34.7600,35.3400,35.2700,24667352,866354490.1300,0.270800,0.198500,25.665152,4.610976
2023-10-27,35.2900,36.2900,35.0500,35.9000,35.3400,34452048,1235553455.9600,0.378200,1.584600,26.071844,4.684041
2023-10-30,35.8300,37.0000,35.5900,36.5600,35.9000,36481056,1331858046.2000,0.400500,1.838400,26.551159,4.770155
2023-10-31,36.5500,36.6800,35.9900,36.4500,36.5600,22420571,813131573.6700,0.246200,-0.300900,26.471273,4.755802
2023-11-01,36.4900,36.5900,35.9000,36.1700,36.4500,20796463,751491005.5200,0.228300,-0.768200,26.267928,4.719270
2023-11-02,36.1300,36.4200,35.8300,35.8700,36.1700,14579907,525630240.5900,0.160100,-0.829400,26.050057,4.680127
2023-11-03,36.0000,36.3100,35.7600,35.8100,35.8700,16470767,592987815.6500,0.180800,-0.167300,26.006483,4.672299
2023-11-06,35.9000,37.1600,35.9000,36.9300,35.8100,34564179,1267792730.5300,0.379500,3.127600,26.819866,4.818430
2023-11-07,36.8900,37.3100,36.6400,36.8600,36.9300,25342370,937293013.1100,0.278200,-0.189500,26.769030,4.809297
2023-11-08,36.6700,37.5300,36.5900,37.2200,36.8600,25535996,950399744.8900,0.280400,0.976700,27.030475,4.856268
2023-11-09,37.1600,37.7500,36.8300,37.0700,37.2200,24429340,908363661.7600,0.268200,-0.403000,26.921539,4.836697
2023-11-10,36.9000,37.5000,36.6000,37.1800,37.0700,17580194,652796921.9800,0.193000,0.296700,27.001425,4.851049
2023-11-13,37.2500,37.5800,36.9100,37.2400,37.1800,18444698,688325089.4800,0.202500,0.161400,27.044999,4.858877
2023-11-14,37.1600,37.4300,36.4500,36.4900,37.2400,23420717,862896531.2600,0.257100,-2.014000,26.500323,4.761021
2023-11-15,36.9500,37.1400,36.2100,36.6500,36.4900,19141169,700813389.3500,0.210100,0.438500,26.616520,4.781897
2023-11-16,36.5000,36.7900,36.0000,36.0000,36.6500,17176230,622176914.2000,0.188600,-1.773500,26.144468,4.697089
2023-11-17,35.9500,36.2800,35.6200,35.7100,36.0000,19833218,710774917.4400,0.217700,-0.805600,25.933859,4.659251
2023-11-20,35.7000,36.0600,35.4700,35.7900,35.7100,17957250,642473510.0100,0.197100,0.224000,25.991958,4.669689
2023-11-21,35.8300,36.3600,35.7200,35.8700,35.7900,17502664,629365166.8300,0.192200,0.223500,26.050057,4.680127
2023-11-22,35.8800,35.9700,35.3100,35.5500,35.8700,12594484,448657017.4000,0.138300,-0.892100,25.817662,4.638375
2023-11-23,35.5500,35.9500,35.2100,35.8500,35.5500,12844195,458138372.1100,0.141000,0.843900,26.035532,4.677518
2023-11-24,36.3000,36.3500,35.5600,35.8100,35.8500,15074027,540096403.9400,0.165500,-0.111600,26.006483,4.672299
2023-11-27,35.8100,35.8200,35.1000,35.2800,35.8100,17493242,617485196.6000,0.192100,-1.480000,25.621578,4.603147
2023-11-28,35.1800,35.4900,35.1100,35.2800,35.2800,12326923,434855887.3800,0.135300,0.000000,25.621578,4.603147
2023-11-29,35.2800,35.4400,34.8800,35.0200,35.2800,12495741,438948208.7200,0.137200,-0.737000,25.432757,4.569224
2023-11-30,34.8300,35.0800,34.6700,34.7900,35.0200,13060942,455240320.0600,0.143400,-0.656800,25.265723,4.539214
2023-12-01,34.8400,35.5000,34.5000,35.5000,34.7900,20254291,709156816.5700,0.222400,2.040800,25.781350,4.631851
2023-12-04,35.6000,35.9900,34.8800,34.9000,35.5000,19880988,701561720.1700,0.218300,-1.690100,25.345609,4.553567
2023-12-05,34.4500,34.8800,33.7800,33.8000,34.9000,22448881,766527950.3400,0.246500,-3.151900,24.546750,4.410045
2023-12-06,33.7700,34.0500,33.3500,33.6000,33.8000,17069650,575107192.8000,0.187400,-0.591700,24.401503,4.383950
