date,code,open,high,low,close,volume
2020-07-10,sh.600600,70.7328180000,73.0271004300,69.9801482700,70.9595257500,7855925
2020-07-13,sh.600600,70.7328180000,74.2241173500,69.8078503800,73.3172863500,9770916
2020-07-14,sh.600600,73.3172863500,76.9355420400,72.5464800000,75.2125631400,8653135
2020-07-15,sh.600600,75.2125631400,81.0434864700,75.2125631400,78.5315646000,10198763
2020-07-16,sh.600600,78.5224962900,78.5315646000,70.8325694100,71.0139356100,11418736
2020-07-17,sh.600600,69.8259870000,75.4392708900,69.3725715000,73.9157948100,7156158
2020-07-20,sh.600600,73.9157948100,75.2579046900,70.7418863100,72.6280947900,8503323
2020-07-21,sh.600600,72.5374116900,75.6387737100,71.2315750500,74.1515708700,5442478
2020-07-22,sh.600600,73.1721933900,78.5859744600,72.9636222600,75.8020032900,7481528
2020-07-23,sh.600600,75.2669730000,77.5340505000,73.8341800200,77.1169082400,6395349
2020-07-24,sh.600600,76.8539272500,77.5068455700,71.6396490000,72.8457342300,7323570
2020-07-27,sh.600600,72.7550511300,74.6956694700,71.4401461800,72.9817588800,4569034
2020-07-28,sh.600600,73.4533110000,76.7179026000,72.7731877500,75.5843638500,6848414
2020-07-29,sh.600600,75.4664758200,76.2554187900,73.9067265000,76.2191455500,5634129
2020-07-30,sh.600600,76.1647356900,78.8942970000,74.9133089100,76.6997659800,7219204
2020-07-31,sh.600600,76.6906976700,77.0806350000,74.0971610100,75.2669730000,8923213
2020-08-03,sh.600600,75.2669730000,75.5843638500,72.7278462000,74.6775328500,10281507
2020-08-04,sh.600600,74.3601420000,75.2851096200,72.9092124000,73.4805159300,7665117
2020-08-05,sh.600600,72.6552997200,74.0790243900,71.8754250600,73.5530624100,6122946
2020-08-06,sh.600600,73.5530624100,73.7707018500,70.9051158900,71.4582828000,8645314
2020-08-07,sh.600600,71.8210152000,72.0839961900,67.5679778100,69.7806454500,8996945
2020-08-10,sh.600600,71.1862335000,71.1862335000,68.1030081000,69.6718257300,5358330
2020-08-11,sh.600600,70.2794025000,71.3222581500,69.3181616400,69.3181616400,5945915
2020-08-12,sh.600600,69.8259870000,69.9529433400,66.7971714600,67.7402757000,5338021
2020-08-13,sh.600600,67.7946855600,68.3750574000,67.1145623100,67.6586609100,2709074
2020-08-14,sh.600600,67.6314559800,68.1936912000,66.8334447000,67.9216419000,3899000
2020-08-17,sh.600600,69.6264841800,71.6124440700,68.5382869800,70.0073532000,9507594
2020-08-18,sh.600600,69.1005222000,73.0724419800,68.9282243100,72.0477229500,8470947
2020-08-19,sh.600600,72.5102067600,74.3601420000,71.0320722300,73.0905786000,10260812
2020-08-20,sh.600600,72.5464800000,72.5464800000,69.9257384100,70.1796510900,5799265
2020-08-21,sh.600600,70.9867306800,75.0946751100,70.5605201100,74.3601420000,10334170
2020-08-24,sh.600600,74.4961666500,76.0559159700,73.5893356500,74.3601420000,7141571
2020-08-25,sh.600600,74.3782786200,76.1919406200,73.9067265000,74.5324398900,5131647
2020-08-26,sh.600600,74.3873469300,76.1738040000,73.5984039600,74.8951722900,6264119
2020-08-27,sh.600600,75.0039920100,80.7986421000,74.9042406000,79.4565322200,11965046
2020-08-28,sh.600600,78.9759117900,83.4193836900,76.6000145700,82.5216210000,11347130
2020-08-31,sh.600600,86.5479506400,90.2296845000,79.2207561600,79.2207561600,16336429
2020-09-01,sh.600600,79.2207561600,79.4928054600,74.8135575000,78.2595153000,12650742
2020-09-02,sh.600600,77.3345476800,78.5587695300,75.9470962500,76.5818779500,7235267
2020-09-03,sh.600600,76.5818779500,78.7673406600,75.7657300500,77.3889575400,6967213
2020-09-04,sh.600600,75.7203885000,75.7747983600,72.1928159100,73.9067265000,9595196
2020-09-07,sh.600600,73.0633736700,73.7253603000,70.1887194000,71.0955504000,7119585
2020-09-08,sh.600600,71.5308292800,71.9026299900,67.6042510500,69.8350553100,8062892
2020-09-09,sh.600600,68.8103362800,69.0914538900,66.8334447000,67.9941883800,4712071
2020-09-10,sh.600600,68.9191560000,69.8169186900,67.8037538700,68.2299644400,5188079
2020-09-11,sh.600600,67.7221390800,69.9257384100,66.9422644200,69.6174158700,4146573
2020-09-14,sh.600600,70.2794025000,72.6190264800,69.7171672800,70.6874764500,7192602
2020-09-15,sh.600600,70.5242468700,72.0930645000,69.1277271300,71.5036243500,4127403
2020-09-16,sh.600600,71.3222581500,72.7006412700,70.4335637700,71.3222581500,3399733
2020-09-17,sh.600600,70.7328180000,70.7328180000,68.4566721900,68.8284729000,5078531
2020-09-18,sh.600600,68.7105848700,69.1095905100,67.3412700600,69.1095905100,4966692
2020-09-21,sh.600600,69.1005222000,69.1005222000,67.3594066800,67.9397785200,4789182
2020-09-22,sh.600600,67.1054940000,68.0032566900,66.6520785000,67.3775433000,3666905
2020-09-23,sh.600600,67.3775433000,67.6858658400,66.5251221600,67.2415186500,3852423
2020-09-24,sh.600600,67.2415186500,67.4228848500,64.7477334000,65.6636327100,5948893
2020-09-25,sh.600600,65.6636327100,66.8062397700,63.4781700000,66.6611468100,6215862
2020-09-28,sh.600600,66.1986630000,66.6520785000,64.5391622700,64.8293481900,5088792
2020-09-29,sh.600600,65.2736953800,65.7452475000,64.5391622700,65.3643784800,4640643
2020-09-30,sh.600600,65.7452475000,68.9917024800,65.4822665100,68.1120764100,8449161
2020-10-09,sh.600600,68.7649947300,69.6536891100,67.4410214700,67.6677292200,6983298
2020-10-12,sh.600600,67.5589095000,68.1846228900,66.3528242700,68.1030081000,8951159
2020-10-13,sh.600600,67.8763003500,69.5539377000,67.1780404800,69.3635031900,7075436
2020-10-14,sh.600600,68.3659890900,69.3272299500,66.1623897600,67.2415186500,9407050
2020-10-15,sh.600600,67.2415186500,69.4632546000,66.5341904700,68.9191560000,6741385
2020-10-16,sh.600600,68.4113306400,69.7171672800,68.0304616200,68.3750574000,4823905
2020-10-19,sh.600600,69.0642489600,69.0642489600,67.1054940000,67.5861144300,3630250
2020-10-20,sh.600600,67.1961771000,69.3725715000,66.9150594900,68.6471067000,3614112
2020-10-21,sh.600600,68.9191560000,71.8754250600,68.3659890900,70.6421349000,8318679
2020-10-22,sh.600600,70.4607687000,71.8300835100,68.9282243100,71.3675997000,5738629
2020-10-23,sh.600600,70.7328180000,75.1037434200,70.5605201100,73.4261060700,9845064
2020-10-26,sh.600600,72.5464800000,73.7253603000,70.4607687000,71.6396490000,6253158
2020-10-27,sh.600600,70.9232525100,72.1746792900,69.9801482700,72.1746792900,4422424
2020-10-28,sh.600600,71.7394004100,76.4277166800,71.4582828000,75.4483392000,8960019
2020-10-29,sh.600600,74.8135575000,79.9371526500,74.0880927000,79.3477125000,10448521
2020-10-30,sh.600600,77.0806350000,77.0806350000,71.4129412500,71.8391518200,17121112
2020-11-02,sh.600600,71.6396490000,73.7072236800,70.9141842000,72.6462314100,6226467
2020-11-03,sh.600600,73.3263546600,73.3626279000,70.4970419400,72.0386546400,6983743
2020-11-04,sh.600600,71.1862335000,73.9883412900,69.9710799600,73.0452370500,7573420
2020-11-05,sh.600600,73.4261060700,74.8588990500,72.5555483100,74.0880927000,6402342
2020-11-06,sh.600600,73.4533110000,74.0427511500,72.1021328100,73.0996469100,5248887
2020-11-09,sh.600600,72.9636222600,74.5233715800,71.6487173100,73.8432483300,7577179
2020-11-10,sh.600600,73.7888384700,77.5521871200,73.4623793100,76.0831209000,8923901
2020-11-11,sh.600600,76.0196427300,78.5859744600,75.3667244100,76.1193941400,6734125
2020-11-12,sh.600600,74.6503279200,79.4383956000,73.9067265000,78.4862230500,7606304
2020-11-13,sh.600600,77.3345476800,77.9874660000,75.2669730000,77.0352934500,5450460
2020-11-16,sh.600600,76.9808835900,78.5678378400,75.6297054000,78.5497012200,5817531
2020-11-17,sh.600600,78.6313160100,78.8942970000,76.9264737300,77.6882117700,4952009
2020-11-18,sh.600600,76.7995173900,77.9874660000,76.1919406200,76.8720638700,4630572
2020-11-19,sh.600600,76.0015061100,80.2545435000,75.2760413100,78.9215019300,7248126
2020-11-20,sh.600600,78.8489554500,84.2718048300,78.6857258700,82.6576456500,9807916
2020-11-23,sh.600600,81.6964047900,86.1489450000,80.9800083000,84.4259661000,8806883
2020-11-24,sh.600600,84.3806245500,86.1489450000,82.3402548000,85.2421140000,4953663
2020-11-25,sh.600600,87.5091915000,87.7812408000,78.1234906500,79.6106934900,11109308
2020-11-26,sh.600600,79.1210047500,81.0706914000,76.1284624500,79.7376498300,7326593
2020-11-27,sh.600600,80.0913139200,81.9593857800,78.0872174100,80.8802568900,4504309
2020-11-30,sh.600600,81.6147900000,82.6123041000,79.1935512300,82.5216210000,5978267
2020-12-01,sh.600600,80.7079590000,82.7392604400,80.2636118100,82.6123041000,6111194
2020-12-02,sh.600600,82.1860935300,83.4103153800,81.5059702800,82.5034843800,3579754
2020-12-03,sh.600600,82.1679569100,85.5413682300,81.6873364800,84.5257175100,3647532
2020-12-04,sh.600600,84.6254689200,87.9988802400,83.8274576400,87.2643471300,5512825
2020-12-07,sh.600600,87.0557760000,90.1843429500,86.9288196600,89.3409901200,6135673
2020-12-08,sh.600600,89.0326675800,90.1027281600,86.1670816200,89.0508042000,4933668
2020-12-09,sh.600600,88.4795006700,90.1662063300,88.4613640500,88.9510527900,4878031
2020-12-10,sh.600600,88.8603696900,89.7490640700,87.4729182600,89.4860830800,4066098
2020-12-11,sh.600600,89.3228535000,94.7638395000,88.9601211000,91.7168873400,9533057
2020-12-14,sh.600600,92.3063274900,97.7019719400,88.5067056000,97.5024691200,7425187
2020-12-15,sh.600600,95.7160120500,97.9377480000,93.7391204700,96.8223458700,5083099
2020-12-16,sh.600600,96.1875641700,98.7085543500,95.6253289500,97.0762585500,3920735
2020-12-17,sh.600600,96.1240860000,97.0309170000,92.7688113000,94.2197409000,7034557
2020-12-18,sh.600600,94.2741507600,95.0630937300,90.2296845000,91.5899310000,9144270
2020-12-21,sh.600600,91.4992479000,92.8232211600,89.2956485700,90.5198704200,8641384
2020-12-22,sh.600600,89.6221077300,93.4035930000,89.6130394200,91.2271986000,7731220
2020-12-23,sh.600600,91.2271986000,93.6847106100,88.2527929200,90.5017338000,9883691
2020-12-24,sh.600600,89.6402443500,90.9551493000,87.0557760000,88.7968915200,5834298
2020-12-25,sh.600600,87.9626070000,90.0573866100,86.0582619000,88.8694380000,5055119
2020-12-28,sh.600600,89.6855859000,90.6831000000,87.3096886800,88.9601211000,6589093
2020-12-29,sh.600600,89.2321704000,90.3022309800,86.2396281000,89.8850887200,6747758
2020-12-30,sh.600600,89.3228535000,91.0276957800,88.8513013800,90.3747774600,6458485
2020-12-31,sh.600600,89.4226049100,91.3269500100,89.3228535000,90.1390014000,7050407
2021-01-04,sh.600600,90.1117964700,95.0993669700,89.5042197000,92.9320408800,8366918
2021-01-05,sh.600600,92.9320408800,98.6541444900,92.3244641100,97.9377480000,7857777
2021-01-06,sh.600600,97.5750156000,98.8989888600,95.0358888000,98.7992374500,7223313
2021-01-07,sh.600600,98.8083057600,100.3861917000,97.0399853100,99.3977459100,6623496
2021-01-08,sh.600600,98.8717839300,100.0234593000,94.2197409000,96.5775015000,8237799
2021-01-11,sh.600600,96.2147691000,96.6228430500,92.4060789000,94.7638395000,6782876
2021-01-12,sh.600600,94.2469458300,97.6112888400,94.0474430100,94.7457028800,6345229
2021-01-13,sh.600600,96.5502965700,96.5775015000,90.6649633800,91.1365155000,8328958
2021-01-14,sh.600600,91.8982535400,92.0342781900,86.8744098000,87.9354020700,7909675
2021-01-15,sh.600600,86.6114288100,86.6477020500,82.5216210000,84.4531710300,10616243
2021-01-18,sh.600600,84.3352830000,85.6683245700,82.3493231100,83.3831104500,8105412
2021-01-19,sh.600600,83.3740421400,84.2899414500,79.5109420800,79.8011280000,12086451
2021-01-20,sh.600600,79.8011280000,83.4284520000,78.4408815000,82.2223667700,14667711
2021-01-21,sh.600600,82.2223667700,82.8480801600,80.1003822300,82.2314350800,13486059
2021-01-22,sh.600600,82.2314350800,86.5116774000,82.2132984600,84.7342886400,10272634
2021-01-25,sh.600600,84.7342886400,88.4704323600,84.3352830000,87.9626070000,8684473
2021-01-26,sh.600600,87.9716753100,88.3706809500,84.9247231500,87.2008689600,6611922
2021-01-27,sh.600600,85.9403738700,86.5026090900,81.9775224000,84.1811217300,9243184
2021-01-28,sh.600600,82.5034843800,83.4375203100,79.9552892700,80.2726801200,9046846
2021-01-29,sh.600600,80.7714371700,83.2289491800,79.8011280000,80.5175244900,7809773
2021-02-01,sh.600600,80.9165301300,85.7862126000,80.9165301300,85.7045978100,8648686
2021-02-02,sh.600600,86.0401252800,88.2799978500,84.7886985000,87.8719239000,6947293
2021-02-03,sh.600600,87.4185084000,90.4201190100,87.1555274100,87.9626070000,6349398
2021-02-04,sh.600600,86.6930436000,89.2231020900,84.9519280800,86.1761499300,7478619
2021-02-05,sh.600600,86.4481992300,90.5017338000,84.5166492000,88.6336619400,9840068
2021-02-08,sh.600600,88.5973887000,89.0961457500,84.0541653900,85.4053435800,11509785
2021-02-09,sh.600600,84.3352830000,89.2503070200,83.7458428500,88.0170168600,7683823
2021-02-10,sh.600600,88.2618612300,88.7424816600,86.1308083800,86.8562731800,10214324
2021-02-18,sh.600600,87.7631041800,87.7631041800,82.7936703000,83.3649738300,9324369
2021-02-19,sh.600600,83.4465886200,84.2264632800,79.8555378600,82.5216210000,8199051
2021-02-22,sh.600600,82.6123041000,82.7029872000,79.9008794100,80.8893252000,9806420
2021-02-23,sh.600600,79.8011280000,80.0550406800,77.4161624700,79.0756632000,10842772
2021-02-24,sh.600600,79.4383956000,79.6832399700,74.4508251000,76.4277166800,13900698
2021-02-25,sh.600600,76.0831209000,76.9355420400,74.1606391800,74.2513222800,9094710
2021-02-26,sh.600600,73.2538081800,73.2538081800,70.1887194000,72.2109525300,10286125
2021-03-01,sh.600600,72.5283433800,72.8185293000,70.5514518000,71.8119468900,10770510
2021-03-02,sh.600600,72.5374116900,73.8160434000,70.4607687000,70.7962961700,11546444
2021-03-03,sh.600600,70.6965447600,71.5036243500,69.9166701000,71.3675997000,9760110
2021-03-04,sh.600600,70.7328180000,70.7328180000,68.4476038800,68.8919510700,9596383
2021-03-05,sh.600600,67.7856172500,70.5151785600,66.1986630000,69.7353039000,7025857
2021-03-08,sh.600600,71.1680968800,72.6915729600,68.9191560000,69.0461123400,12870801
2021-03-09,sh.600600,69.1005222000,70.0798996800,65.7089742600,68.0304616200,9383538
2021-03-10,sh.600600,70.2884708100,70.3700856000,67.1417672400,67.7856172500,7892723
2021-03-11,sh.600600,67.5317045700,71.6215123800,66.6520785000,71.1499602600,10092273
2021-03-12,sh.600600,71.2769166000,71.5489659000,68.0123250000,69.8259870000,6671168
2021-03-15,sh.600600,69.5176644600,69.5902109400,66.4525756800,67.2143137200,7361922
2021-03-16,sh.600600,67.4047482300,68.6380383900,66.8153080800,68.1574179600,6363072
2021-03-17,sh.600600,68.1030081000,71.1590285700,67.1961771000,70.9141842000,9058324
2021-03-18,sh.600600,70.6239982800,74.3601420000,70.3700856000,73.2266032500,10598569
2021-03-19,sh.600600,71.8119468900,74.1787758000,71.6759222400,72.2925673200,5902755
2021-03-22,sh.600600,72.2562940800,73.4533110000,70.5151785600,71.4673511100,5127130
2021-03-23,sh.600600,71.2406433600,73.2538081800,70.4335637700,72.3651138000,6207585
2021-03-24,sh.600600,72.0930645000,73.5258574800,71.1590285700,71.5943074500,6768964
2021-03-25,sh.600600,70.6874764500,73.2266032500,69.5358010800,72.5011384500,5056748
2021-03-26,sh.600600,72.5464800000,75.1581532800,72.2653623900,73.9067265000,8545686
2021-03-29,sh.600600,74.1787758000,77.5431188100,73.4533110000,75.9924378000,10473265
2021-03-30,sh.600600,75.9017547000,77.6882117700,75.1672215900,75.9924378000,6324783
2021-03-31,sh.600600,75.6297054000,76.8720638700,74.3692103100,76.7541758400,5682311
2021-04-01,sh.600600,76.7541758400,76.9536786600,75.6025004700,76.5637413300,3439557
